Date,Open,High,Low,Close,Adj Close,Volume
2009-07-10,3.180000,3.280000,3.090000,3.110000,2.815102,21900
2009-07-13,2.620000,3.120000,2.620000,3.110000,2.815102,35200
2009-07-14,3.060000,3.180000,3.040000,3.110000,2.815102,13200
2009-07-15,3.040000,3.280000,3.040000,3.280000,2.968981,62400
2009-07-16,3.320000,3.470000,3.150000,3.300000,2.987085,38600
2009-07-17,3.170000,3.330000,3.170000,3.230000,2.923722,12700
2009-07-20,3.150000,3.290000,3.150000,3.250000,2.941826,10900
2009-07-21,3.250000,3.280000,3.160000,3.180000,2.878464,9700
2009-07-22,3.210000,3.410000,3.180000,3.290000,2.978034,29600
2009-07-23,3.260000,3.480000,3.260000,3.390000,3.068550,21100
2009-07-24,3.410000,3.540000,3.320000,3.340000,3.023292,49500
2009-07-27,3.350000,3.490000,3.270000,3.350000,3.032344,25700
2009-07-28,3.280000,3.320000,3.180000,3.200000,2.896567,12000
2009-07-29,3.210000,3.330000,3.200000,3.310000,2.996137,14100
2009-07-30,3.300000,3.330000,3.200000,3.270000,2.959930,20200
2009-07-31,3.550000,3.790000,3.550000,3.650000,3.303897,114700
2009-08-03,3.680000,3.710000,3.620000,3.690000,3.340104,33800
2009-08-04,3.620000,3.800000,3.550000,3.600000,3.258638,26500
2009-08-05,3.600000,3.690000,3.600000,3.690000,3.340104,4500
2009-08-06,3.690000,3.790000,3.670000,3.790000,3.430622,20300
2009-08-07,3.750000,3.990000,3.710000,3.990000,3.611657,35300
2009-08-10,3.980000,4.090000,3.980000,4.010000,3.629761,53300
2009-08-11,3.950000,4.080000,3.950000,4.040000,3.656916,13500
2009-08-12,4.040000,4.070000,3.910000,4.000000,3.620709,15500
2009-08-13,4.010000,4.020000,3.900000,4.000000,3.620709,17900
2009-08-14,4.040000,4.040000,4.000000,4.010000,3.629761,7100
2009-08-17,3.950000,4.010000,3.950000,3.960000,3.584502,11500
2009-08-18,3.910000,4.230000,3.910000,4.230000,3.828900,26800
2009-08-19,4.220000,4.230000,4.070000,4.130000,3.738383,9800
2009-08-20,4.130000,4.130000,4.020000,4.080000,3.693122,7800
2009-08-21,3.700000,4.190000,3.700000,4.060000,3.675019,34100
2009-08-24,4.130000,4.130000,3.900000,4.000000,3.620709,17900
2009-08-25,3.920000,4.050000,3.900000,3.930000,3.557347,19500
2009-08-26,3.950000,4.020000,3.910000,4.000000,3.620709,10600
2009-08-27,3.950000,4.130000,3.900000,4.100000,3.711227,23600
2009-08-28,4.200000,4.200000,4.000000,4.090000,3.702175,57100
2009-08-31,4.000000,4.090000,4.000000,4.090000,3.702175,10600
2009-09-01,4.020000,4.020000,3.910000,3.940000,3.566399,95800
2009-09-02,3.940000,3.960000,3.900000,3.930000,3.557347,6900
2009-09-03,3.940000,4.000000,3.930000,4.000000,3.620709,16200
2009-09-04,4.000000,4.030000,3.990000,4.000000,3.620709,9800
